"統計名：","住民基本台帳人口移動報告 年報（実数）　2020年～"
"表番号：","10"
"表題：","男女，移動前の住所地（都道府県，21大都市）別転入者数－都道府県，市区町村（移動者）（2020年～）"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査していないため該当数値がないもの"
"-","定義上該当数値がないもの"

"","","","","","","","","","","/性別 コード","0","1","2"
"表章項目 コード","表章項目","国籍 コード","国籍","移動後の住所地 コード","移動後の住所地","時間軸（年次） コード","時間軸（年次）","移動前の住所地 コード","移動前の住所地","/性別","総数","男","女"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","22100","静岡市","","0","0","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","22130","浜松市","","1","1","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","23100","名古屋市","","10","6","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","26100","京都市","","11","5","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","27100","大阪市","","17","8","9"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","27140","堺市","","5","2","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","28100","神戸市","","10","4","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","33100","岡山市","","3","2","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","34100","広島市","","0","0","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","40100","北九州市","","4","1","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","40130","福岡市","","11","6","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","43100","熊本市","","4","3","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2021000000","2021年","99300","移動前の住所地不詳","","3","3","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","00999","総数","","2,419","1,306","1,113"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","01000","北海道","","14","8","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","02000","青森県","","4","1","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","03000","岩手県","","2","2","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","04000","宮城県","","1","0","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","05000","秋田県","","0","0","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","06000","山形県","","0","0","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","07000","福島県","","2","1","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","08000","茨城県","","12","9","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","09000","栃木県","","6","4","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","10000","群馬県","","13","7","6"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","11000","埼玉県","","23","10","13"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","12000","千葉県","","14","9","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","13000","東京都","","126","65","61"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","14000","神奈川県","","65","37","28"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","15000","新潟県","","2","1","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","16000","富山県","","0","0","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","17000","石川県","","4","3","1"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","18000","福井県","","6","3","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","19000","山梨県","","1","1","0"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","20000","長野県","","10","6","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","21000","岐阜県","","5","3","2"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","22000","静岡県","","11","6","5"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","23000","愛知県","","48","32","16"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","24000","三重県","","9","5","4"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","25000","滋賀県","","9","6","3"
"18","移動前の住所地別転入者数【人】","60000","移動者","47215","南城市","2020000000","2020年","26000","京都府","","20","9","11"
